state	year	state.population	prison.population	region
Delaware	1985	NA	2192	South
Florida	1985	NA	28172	South
Georgia	1985	NA	16262	South
Hawaii	1985	NA	1881	West
Idaho	1985	NA	1317	West
Illinois	1985	NA	18279	Midwest
Indiana	1985	NA	10088	Midwest
Iowa	1985	NA	2687	Midwest
Kansas	1985	NA	4573	Midwest
Kentucky	1985	NA	4956	South
Louisiana	1985	NA	10977	South
Maine	1985	NA	1118	Northeast
Maryland	1985	NA	12879	South
Massachusetts	1985	NA	5453	Northeast
Michigan	1985	NA	17755	Midwest
Minnesota	1985	NA	2495	Midwest
Mississippi	1985	NA	5459	South
Missouri	1985	NA	9780	Midwest
Montana	1985	NA	1096	West
Nebraska	1985	NA	1886	Midwest
Nevada	1985	NA	3794	West
New Hampshire	1985	NA	643	Northeast
New Jersey	1985	NA	11328	Northeast
New Mexico	1985	NA	2223	West
New York	1985	NA	35346	Northeast
North Carolina	1985	NA	17501	South
North Dakota	1985	NA	443	Midwest
Ohio	1985	NA	20539	Midwest
Oklahoma	1985	NA	7108	South
Oregon	1985	NA	3714	West
Pennsylvania	1985	NA	14267	Northeast
Rhode Island	1985	NA	1322	Northeast
South Carolina	1985	NA	9829	South
South Dakota	1985	NA	1044	Midwest
Tennessee	1985	NA	6943	South
Texas	1985	NA	37532	South
Utah	1985	NA	1670	West
Vermont	1985	NA	651	Northeast
Virginia	1985	NA	10782	South
Washington	1985	NA	6468	West
West Virginia	1985	NA	1754	South
Wisconsin	1985	NA	5243	Midwest
Wyoming	1985	NA	726	West
Alabama	1986	NA	11638	South
Alaska	1986	NA	2447	West
Arizona	1986	NA	9345	West
Arkansas	1986	NA	4689	South
California	1986	NA	58830	West
Colorado	1986	NA	3775	West
Connecticut	1986	NA	6821	Northeast
Delaware	1986	NA	2782	South
Florida	1986	NA	31888	South
Georgia	1986	NA	16860	South
Hawaii	1986	NA	2155	West
Idaho	1986	NA	1438	West
Illinois	1986	NA	19345	Midwest
Indiana	1986	NA	10224	Midwest
Iowa	1986	NA	2763	Midwest
Kansas	1986	NA	5300	Midwest
Kentucky	1986	NA	5274	South
Louisiana	1986	NA	14047	South
Maine	1986	NA	1316	Northeast
Maryland	1986	NA	13293	South
Massachusetts	1986	NA	5684	Northeast
Michigan	1986	NA	20538	Midwest
Minnesota	1986	NA	2452	Midwest
Mississippi	1986	NA	6698	South
Missouri	1986	NA	10235	Midwest
Montana	1986	NA	1108	West
Nebraska	1986	NA	2027	Midwest
Nevada	1986	NA	4558	West
New Hampshire	1986	NA	761	Northeast
New Jersey	1986	NA	11991	Northeast
New Mexico	1986	NA	2394	West
New York	1986	NA	38196	Northeast
North Carolina	1986	NA	17627	South
North Dakota	1986	NA	420	Midwest
Ohio	1986	NA	22373	Midwest
Oklahoma	1986	NA	9423	South
Oregon	1986	NA	4690	West
Pennsylvania	1986	NA	15116	Northeast
Rhode Island	1986	NA	1354	Northeast
South Carolina	1986	NA	11540	South
South Dakota	1986	NA	1073	Midwest
Tennessee	1986	NA	7475	South
Texas	1986	NA	38383	South
Utah	1986	NA	1768	West
Vermont	1986	NA	703	Northeast
Virginia	1986	NA	12821	South
Washington	1986	NA	6583	West
West Virginia	1986	NA	1473	South
Wisconsin	1986	NA	5691	Midwest
Wyoming	1986	NA	852	West
Alabama	1987	NA	12581	South
Alaska	1987	NA	2118	West
Arizona	1987	NA	10948	West
Arkansas	1987	NA	5323	South
California	1987	NA	66975	West
Colorado	1987	NA	4802	West
Connecticut	1987	NA	6961	Northeast
Delaware	1987	NA	2741	South
Florida	1987	NA	31924	South
Georgia	1987	NA	18575	South
Hawaii	1987	NA	2099	West
Idaho	1987	NA	1341	West
Illinois	1987	NA	19850	Midwest
Indiana	1987	NA	10871	Midwest
Iowa	1987	NA	2851	Midwest
Kansas	1987	NA	5875	Midwest
Kentucky	1987	NA	5471	South
Louisiana	1987	NA	11504	South
Maine	1987	NA	1258	Northeast
Maryland	1987	NA	13291	South
Massachusetts	1987	NA	6361	Northeast
Michigan	1987	NA	23879	Midwest
Minnesota	1987	NA	2706	Midwest
Mississippi	1987	NA	5955	South
Missouri	1987	NA	11357	Midwest
Montana	1987	NA	1187	West
Nebraska	1987	NA	2224	Midwest
Nevada	1987	NA	4371	West
New Hampshire	1987	NA	845	Northeast
New Jersey	1987	NA	13650	Northeast
New Mexico	1987	NA	2672	West
New York	1987	NA	40842	Northeast
North Carolina	1987	NA	17404	South
North Dakota	1987	NA	482	Midwest
Ohio	1987	NA	23943	Midwest
