South Carolina,"7,360","7,590","7,089","7,672","8,560","8,716","8,894","9,829","11,540","11,070","13,002","14,909","15,621","16,082","16,462","16,933","17,362","18,864","19,860","20,613","20,997","21,016","20,877","21,713","22,875","22,898","22,644","22,442","22,917","23,569","23,673","23,671","22,992","22,343","21,851"
South Dakota,549,574,651,696,794,830,912,"1,044","1,073","1,128","1,030","1,277","1,360","1,391","1,509","1,570","1,734","1,864","2,063","2,239","2,435","2,492","2,547","2,764","2,911","2,994","3,047","3,336","3,304","3,255","3,337","3,377","3,388","3,551","3,582"
Tennessee,"5,850","6,652","6,851","7,681","7,683","7,876","7,227","6,943","7,475","7,249","7,354","7,769","8,519","9,456","10,729","11,495","12,572","13,040","13,565","15,095","15,483","13,336","13,483","13,788","14,097","14,092","14,226","14,108","14,186","14,147","14,224","14,824","14,917","14,684","14,652"
Texas,"24,575","26,522","29,892","31,502","36,149","35,259","36,682","37,532","38,383","38,821","40,437","44,022","50,042","51,677","61,178","70,127","97,475","127,766","132,383","140,351","144,510","136,882","134,599","132,149","135,673","136,486","140,014","139,564","139,883","139,705","139,196","139,335","141,087","141,353","136,578"
Utah,917,982,965,"1,099","1,169","1,234","1,546","1,670","1,768","1,818","2,057","2,433","2,543","2,794","2,958","3,046","3,238","3,985","4,560","4,861","5,118","3,992","4,208","4,145","4,285","4,623","4,720","5,058","5,031","5,165","5,132","5,244","5,442","5,294","5,309"
Vermont,414,405,468,503,579,535,491,651,703,744,770,880,992,"1,088","1,211","1,188","1,267","1,245","1,119","1,270","1,240","1,135","1,310","1,400","1,361","1,491","1,529","1,621","1,691","1,390","1,390","1,552","1,517","1,531","1,530"
Virginia,"8,051","8,114","8,357","8,514","9,229","9,222","9,786","10,782","12,821","11,522","12,787","14,415","14,624","16,928","16,934","18,258","21,108","23,890","25,149","24,632","26,417","27,312","27,602","29,906","29,368","29,353","29,504","29,153","29,274","31,442","31,050","29,420","30,351","28,962","28,149"
Washington,"4,528","4,466","4,342","5,294","5,861","6,198","6,342","6,468","6,583","6,430","7,089","7,024","7,384","9,205","9,981","10,429","10,847","11,679","12,588","13,226","14,188","13,952","14,920","14,750","16,263","16,227","16,176","15,891","15,873","15,708","16,325","17,131","17,028","17,109","16,919"
West Virginia,"1,237","1,251","1,257","1,565","1,547","1,667","1,606","1,754","1,473","1,477","1,482","1,573","1,565","1,573","1,674","1,805","1,930","2,378","2,468","2,397","2,827","2,880","3,060","1,866","3,575","3,790","3,990","4,036","4,367","4,907","4,896","5,062","5,072","5,149","5,335"
Wisconsin,"3,432","3,677","3,788","4,249","4,441","4,226","4,845","5,243","5,691","5,847","6,159","6,669","7,247","7,686","8,191","8,781","10,022","11,199","12,530","13,700","14,506","15,286","15,506","17,337","18,203","20,246","22,073","21,921","22,561","22,816","22,236","22,245","21,983","22,352","22,401"
Wyoming,432,477,490,610,684,681,706,726,852,916,945,"1,026","1,110","1,099","1,064","1,102","1,065","1,250","1,327","1,418","1,432","1,258","1,267","1,021","1,114","1,137","1,209","1,250","1,252","1,297","1,277","1,516","1,875","1,917","1,951"
