state	year	state.population	prison.population	state.and.federal.rate	region	sub.region	state.rate
Washington	2007	NA	15708	275	West	Pacific	NA
West Virginia	2007	NA	4907	334	South	South Atlantic	NA
Wisconsin	2007	NA	22816	398	Midwest	East North Central	NA
Wyoming	2007	NA	1297	398	West	Mountain	NA
Alabama	2008	NA	25262	635	South	East South Central	NA
Alaska	2008	NA	3547	431	West	Pacific	NA
Arizona	2008	NA	31086	572	West	Mountain	NA
Arkansas	2008	NA	13135	511	South	West South Central	NA
California	2008	NA	168066	472	West	Pacific	NA
Colorado	2008	NA	17937	472	West	Mountain	NA
Connecticut	2008	NA	18978	407	Northeast	New England	NA
Delaware	2008	NA	6944	464	South	South Atlantic	NA
Florida	2008	NA	90720	556	South	South Atlantic	NA
Georgia	2008	NA	47581	543	South	South Atlantic	NA
Hawaii	2008	NA	3347	334	West	Pacific	NA
Idaho	2008	NA	4919	477	West	Mountain	NA
Illinois	2008	NA	45474	354	Midwest	East North Central	NA
Indiana	2008	NA	23750	443	Midwest	East North Central	NA
Iowa	2008	NA	8723	293	Midwest	West North Central	NA
Kansas	2008	NA	8556	305	Midwest	West North Central	NA
Kentucky	2008	NA	13051	491	South	East South Central	NA
Louisiana	2008	NA	17929	849	South	West South Central	NA
Maine	2008	NA	2047	150	Northeast	New England	NA
Maryland	2008	NA	22955	402	South	South Atlantic	NA
Massachusetts	2008	NA	11174	155	Northeast	New England	NA
Michigan	2008	NA	48738	487	Midwest	East North Central	NA
Minnesota	2008	NA	8419	189	Midwest	West North Central	NA
Mississippi	2008	NA	12399	738	South	East South Central	NA
Missouri	2008	NA	30137	507	Midwest	West North Central	NA
Montana	2008	NA	1598	363	West	Mountain	NA
Nebraska	2008	NA	4470	248	Midwest	West North Central	NA
Nevada	2008	NA	12877	487	West	Mountain	NA
New Hampshire	2008	NA	2854	204	Northeast	New England	NA
New Jersey	2008	NA	22194	300	Northeast	Mid Atlantic	NA
New Mexico	2008	NA	3386	318	West	Mountain	NA
New York	2008	NA	60198	308	Northeast	Mid Atlantic	NA
North Carolina	2008	NA	39740	370	South	South Atlantic	NA
North Dakota	2008	NA	1379	226	Midwest	West North Central	NA
Ohio	2008	NA	48751	448	Midwest	East North Central	NA
Oklahoma	2008	NA	17965	664	South	West South Central	NA
Oregon	2008	NA	13541	374	West	Pacific	NA
Pennsylvania	2008	NA	47917	390	Northeast	Mid Atlantic	NA
Rhode Island	2008	NA	3739	239	Northeast	New England	NA
South Carolina	2008	NA	23673	521	South	South Atlantic	NA
South Dakota	2008	NA	3337	414	Midwest	West North Central	NA
Tennessee	2008	NA	14224	436	South	East South Central	NA
Texas	2008	NA	139196	671	South	West South Central	NA
Utah	2008	NA	5132	236	West	Mountain	NA
Vermont	2008	NA	1390	261	Northeast	New England	NA
Virginia	2008	NA	31050	490	South	South Atlantic	NA
Washington	2008	NA	16325	273	West	Pacific	NA
West Virginia	2008	NA	4896	332	South	South Atlantic	NA
Wisconsin	2008	NA	22236	399	Midwest	East North Central	NA
Wyoming	2008	NA	1277	391	West	Mountain	NA
Alabama	2009	NA	26358	652	South	East South Central	NA
Alaska	2009	NA	3846	359	West	Pacific	NA
Arizona	2009	NA	31573	584	West	Mountain	NA
Arkansas	2009	NA	13338	524	South	West South Central	NA
California	2009	NA	166514	460	West	Pacific	NA
Colorado	2009	NA	17768	454	West	Mountain	NA
Connecticut	2009	NA	18053	383	Northeast	New England	NA
Delaware	2009	NA	6581	449	South	South Atlantic	NA
Florida	2009	NA	91561	561	South	South Atlantic	NA
Georgia	2009	NA	48409	565	South	South Atlantic	NA
Hawaii	2009	NA	3200	318	West	Pacific	NA
Idaho	2009	NA	5118	479	West	Mountain	NA
Illinois	2009	NA	45161	350	Midwest	East North Central	NA
Indiana	2009	NA	24269	448	Midwest	East North Central	NA
Iowa	2009	NA	8914	293	Midwest	West North Central	NA
Kansas	2009	NA	8644	307	Midwest	West North Central	NA
Kentucky	2009	NA	12493	479	South	East South Central	NA
Louisiana	2009	NA	16967	886	South	West South Central	NA
Maine	2009	NA	2074	150	Northeast	New England	NA
Maryland	2009	NA	21962	384	South	South Atlantic	NA
Massachusetts	2009	NA	11156	153	Northeast	New England	NA
Michigan	2009	NA	45478	456	Midwest	East North Central	NA
Minnesota	2009	NA	9309	190	Midwest	West North Central	NA
Mississippi	2009	NA	11926	704	South	East South Central	NA
Missouri	2009	NA	30519	510	Midwest	West North Central	NA
Montana	2009	NA	1651	370	West	Mountain	NA
Nebraska	2009	NA	4490	244	Midwest	West North Central	NA
Nevada	2009	NA	12570	472	West	Mountain	NA
New Hampshire	2009	NA	2915	206	Northeast	New England	NA
New Jersey	2009	NA	21165	291	Northeast	Mid Atlantic	NA
New Mexico	2009	NA	3762	314	West	Mountain	NA
New York	2009	NA	58479	299	Northeast	Mid Atlantic	NA
North Carolina	2009	NA	39916	372	South	South Atlantic	NA
North Dakota	2009	NA	1436	230	Midwest	West North Central	NA
Ohio	2009	NA	48588	447	Midwest	East North Central	NA
Oklahoma	2009	NA	18064	662	South	West South Central	NA
Oregon	2009	NA	13735	375	West	Pacific	NA
Pennsylvania	2009	NA	49565	407	Northeast	Mid Atlantic	NA
Rhode Island	2009	NA	3413	211	Northeast	New England	NA
South Carolina	2009	NA	23671	515	South	South Atlantic	NA
South Dakota	2009	NA	3377	422	Midwest	West North Central	NA
Tennessee	2009	NA	14824	428	South	East South Central	NA
Texas	2009	NA	139335	654	South	West South Central	NA
Utah	2009	NA	5244	234	West	Mountain	NA
Vermont	2009	NA	1552	277	Northeast	New England	NA
Virginia	2009	NA	29420	483	South	South Atlantic	NA
Washington	2009	NA	17131	273	West	Pacific	NA
West Virginia	2009	NA	5062	347	South	South Atlantic	NA
Wisconsin	2009	NA	22245	395	Midwest	East North Central	NA
Wyoming	2009	NA	1516	381	West	Mountain	NA
Alabama	2010	4779736	26321	642	South	East South Central	551
Alaska	2010	710231	3771	389	West	Pacific	531
Arizona	2010	6392017	34774	599	West	Mountain	544
Arkansas	2010	2915918	14192	553	South	West South Central	487
California	2010	37253956	160651	440	West	Pacific	431
Colorado	2010	5029196	18254	452	West	Mountain	363
Connecticut	2010	3574097	17746	372	Northeast	New England	497
Delaware	2010	897934	6378	440	South	South Atlantic	710
Florida	2010	18801310	90274	554	South	South Atlantic	480
Georgia	2010	9687653	47561	563	South	South Atlantic	491
Hawaii	2010	1360301	3363	289	West	Pacific	247
Idaho	2010	1567582	4999	473	West	Mountain	319
Illinois	2010	12830632	48418	377	Midwest	East North Central	377
Indiana	2010	6483802	24456	432	Midwest	East North Central	377
Iowa	2010	3046355	9457	308	Midwest	West North Central	310
Kansas	2010	2853118	9055	317	Midwest	West North Central	317
Kentucky	2010	4339367	12374	459	South	East South Central	285
Louisiana	2010	4533372	16087	868	South	West South Central	355
Maine	2010	1328361	1954	146	Northeast	New England	147
Maryland	2010	5773552	22786	385	South	South Atlantic	395
Massachusetts	2010	6547629	11162	153	Northeast	New England	170
Michigan	2010	9883640	44113	447	Midwest	East North Central	446
Minnesota	2010	5303925	9397	184	Midwest	West North Central	177
Mississippi	2010	2967297	11213	686	South	East South Central	378
Missouri	2010	5988927	30577	511	Midwest	West North Central	511
Montana	2010	989415	1635	375	West	Mountain	165
Nebraska	2010	1826341	4608	246	Midwest	West North Central	252
Nevada	2010	2700551	12192	464	West	Mountain	451
New Hampshire	2010	1316470	2617	210	Northeast	New England	199
New Jersey	2010	8791894	21647	284	Northeast	Mid Atlantic	246
New Mexico	2010	2059179	3754	320	West	Mountain	182
New York	2010	19378102	56420	291	Northeast	Mid Atlantic	291
North Carolina	2010	9535483	40167	371	South	South Atlantic	421
North Dakota	2010	672591	1416	220	Midwest	West North Central	211
Ohio	2010	11536504	48671	448	Midwest	East North Central	422
Oklahoma	2010	3751351	18128	652	South	West South Central	483
Oregon	2010	3831074	13859	386	West	Pacific	362
Pennsylvania	2010	12702379	47072	402	Northeast	Mid Atlantic	371
Rhode Island	2010	1052567	3159	198	Northeast	New England	300
South Carolina	2010	4625364	22992	492	South	South Atlantic	497
South Dakota	2010	814180	3388	420	Midwest	West North Central	416
Tennessee	2010	6346105	14917	432	South	East South Central	235
Texas	2010	25145561	141087	652	South	West South Central	561
Utah	2010	2763885	5442	245	West	Mountain	197
Vermont	2010	625741	1517	263	Northeast	New England	242
Virginia	2010	8001024	30351	466	South	South Atlantic	379
Washington	2010	6724540	17028	270	West	Pacific	253
West Virginia	2010	1852994	5072	358	South	South Atlantic	274
Wisconsin	2010	5686986	21983	386	Midwest	East North Central	387
Wyoming	2010	563626	1875	374	West	Mountain	333
Alabama	2011	NA	26268	650	South	East South Central	NA
Alaska	2011	NA	4528	399	West	Pacific	NA
Arizona	2011	NA	33492	589	West	Mountain	NA
Arkansas	2011	NA	14090	545	South	West South Central	NA
California	2011	NA	146881	393	West	Pacific	NA
Colorado	2011	NA	17559	427	West	Mountain	NA
Connecticut	2011	NA	17022	350	Northeast	New England	NA
Delaware	2011	NA	6546	439	South	South Atlantic	NA
Florida	2011	NA	89034	537	South	South Atlantic	NA
Georgia	2011	NA	47229	547	South	South Atlantic	NA
Hawaii	2011	NA	3687	282	West	Pacific	NA
Idaho	2011	NA	5138	487	West	Mountain	NA
Illinois	2011	NA	48427	376	Midwest	East North Central	NA
Indiana	2011	NA	24450	443	Midwest	East North Central	NA
Iowa	2011	NA	9115	295	Midwest	West North Central	NA
Kansas	2011	NA	9256	324	Midwest	West North Central	NA
Kentucky	2011	NA	11951	479	South	East South Central	NA
Louisiana	2011	NA	15893	865	South	West South Central	NA
Maine	2011	NA	1978	147	Northeast	New England	NA
Maryland	2011	NA	22923	380	South	South Atlantic	NA
Massachusetts	2011	NA	11467	205	Northeast	New England	NA
Michigan	2011	NA	42904	434	Midwest	East North Central	NA
Minnesota	2011	NA	9309	183	Midwest	West North Central	NA
Mississippi	2011	NA	10721	690	South	East South Central	NA
Missouri	2011	NA	30969	512	Midwest	West North Central	NA
Montana	2011	NA	1707	367	West	Mountain	NA
Nebraska	2011	NA	4657	244	Midwest	West North Central	NA
Nevada	2011	NA	12159	461	West	Mountain	NA
New Hampshire	2011	NA	2423	198	Northeast	New England	NA
New Jersey	2011	NA	20755	269	Northeast	Mid Atlantic	NA
New Mexico	2011	NA	3834	329	West	Mountain	NA
New York	2011	NA	55196	283	Northeast	Mid Atlantic	NA
North Carolina	2011	NA	39632	362	South	South Atlantic	NA
North Dakota	2011	NA	1385	206	Midwest	West North Central	NA
Ohio	2011	NA	47957	441	Midwest	East North Central	NA
Oklahoma	2011	NA	17724	632	South	West South Central	NA
Oregon	2011	NA	13728	372	West	Pacific	NA
Pennsylvania	2011	NA	48515	403	Northeast	Mid Atlantic	NA
Rhode Island	2011	NA	3032	197	Northeast	New England	NA
South Carolina	2011	NA	22343	473	South	South Atlantic	NA
South Dakota	2011	NA	3551	426	Midwest	West North Central	NA
Tennessee	2011	NA	14684	443	South	East South Central	NA
Texas	2011	NA	141353	633	South	West South Central	NA
Utah	2011	NA	5294	243	West	Mountain	NA
Vermont	2011	NA	1531	255	Northeast	New England	NA
Virginia	2011	NA	28962	468	South	South Atlantic	NA
Washington	2011	NA	17109	260	West	Pacific	NA
West Virginia	2011	NA	5149	367	South	South Atlantic	NA
Wisconsin	2011	NA	22352	385	Midwest	East North Central	NA
Wyoming	2011	NA	1917	382	West	Mountain	NA
Alabama	2012	NA	26230	650	South	East South Central	NA
Alaska	2012	NA	4575	401	West	Pacific	NA
Arizona	2012	NA	33578	583	West	Mountain	NA
Arkansas	2012	NA	14043	494	South	West South Central	NA
California	2012	NA	132327	351	West	Pacific	NA
Colorado	2012	NA	16389	392	West	Mountain	NA
Connecticut	2012	NA	16347	333	Northeast	New England	NA
Delaware	2012	NA	6730	448	South	South Atlantic	NA
Florida	2012	NA	88134	524	South	South Atlantic	NA
Georgia	2012	NA	47278	542	South	South Atlantic	NA
Hawaii	2012	NA	3661	273	West	Pacific	NA
Idaho	2012	NA	4990	499	West	Mountain	NA
Illinois	2012	NA	49348	381	Midwest	East North Central	NA
Indiana	2012	NA	23783	440	Midwest	East North Central	NA
Iowa	2012	NA	8735	282	Midwest	West North Central	NA
Kansas	2012	NA	9422	325	Midwest	West North Central	NA
Kentucky	2012	NA	12186	489	South	East South Central	NA
Louisiana	2012	NA	15645	893	South	West South Central	NA
Maine	2012	NA	1977	145	Northeast	New England	NA
Maryland	2012	NA	21783	360	South	South Atlantic	NA
Massachusetts	2012	NA	11127	199	Northeast	New England	NA
Michigan	2012	NA	43594	441	Midwest	East North Central	NA
Minnesota	2012	NA	9421	184	Midwest	West North Central	NA
Mississippi	2012	NA	11457	717	South	East South Central	NA
Missouri	2012	NA	31205	518	Midwest	West North Central	NA
Montana	2012	NA	1677	358	West	Mountain	NA
Nebraska	2012	NA	4721	247	Midwest	West North Central	NA
Nevada	2012	NA	12594	453	West	Mountain	NA
New Hampshire	2012	NA	2568	211	Northeast	New England	NA
New Jersey	2012	NA	20333	261	Northeast	Mid Atlantic	NA
New Mexico	2012	NA	3641	315	West	Mountain	NA
New York	2012	NA	54058	276	Northeast	Mid Atlantic	NA
North Carolina	2012	NA	37348	357	South	South Atlantic	NA
North Dakota	2012	NA	1413	213	Midwest	West North Central	NA
Ohio	2012	NA	45529	440	Midwest	East North Central	NA
Oklahoma	2012	NA	17947	648	South	West South Central	NA
Oregon	2012	NA	14123	378	West	Pacific	NA
Pennsylvania	2012	NA	49009	398	Northeast	Mid Atlantic	NA
Rhode Island	2012	NA	3042	190	Northeast	New England	NA
South Carolina	2012	NA	21851	458	South	South Atlantic	NA
South Dakota	2012	NA	3582	434	Midwest	West North Central	NA
Tennessee	2012	NA	14652	438	South	East South Central	NA
Texas	2012	NA	136578	601	South	West South Central	NA
Utah	2012	NA	5309	242	West	Mountain	NA
Vermont	2012	NA	1530	242	Northeast	New England	NA
Virginia	2012	NA	28149	451	South	South Atlantic	NA
Washington	2012	NA	16919	253	West	Pacific	NA
West Virginia	2012	NA	5335	378	South	South Atlantic	NA
Wisconsin	2012	NA	22401	357	Midwest	East North Central	NA
Wyoming	2012	NA	1951	379	West	Mountain	NA
