state	year	state.population	prison.population	state.and.federal.rate	region	sub.region	state.rate
Montana	1986	NA	1108	137	West	Mountain	NA
Nebraska	1986	NA	2027	124	Midwest	West North Central	NA
Nevada	1986	NA	4558	464	West	Mountain	NA
New Hampshire	1986	NA	761	76	Northeast	New England	NA
New Jersey	1986	NA	11991	158	Northeast	Mid Atlantic	NA
New Mexico	1986	NA	2394	158	West	Mountain	NA
New York	1986	NA	38196	216	Northeast	Mid Atlantic	NA
North Carolina	1986	NA	17627	259	South	South Atlantic	NA
North Dakota	1986	NA	420	54	Midwest	West North Central	NA
Ohio	1986	NA	22373	209	Midwest	East North Central	NA
Oklahoma	1986	NA	9423	298	South	West South Central	NA
Oregon	1986	NA	4690	178	West	Pacific	NA
Pennsylvania	1986	NA	15116	129	Northeast	Mid Atlantic	NA
Rhode Island	1986	NA	1354	103	Northeast	New England	NA
South Carolina	1986	NA	11540	330	South	South Atlantic	NA
South Dakota	1986	NA	1073	151	Midwest	West North Central	NA
Tennessee	1986	NA	7475	160	South	East South Central	NA
Texas	1986	NA	38383	233	South	West South Central	NA
Utah	1986	NA	1768	105	West	Mountain	NA
Vermont	1986	NA	703	82	Northeast	New England	NA
Virginia	1986	NA	12821	216	South	South Atlantic	NA
Washington	1986	NA	6583	148	West	Pacific	NA
West Virginia	1986	NA	1473	78	South	South Atlantic	NA
Wisconsin	1986	NA	5691	120	Midwest	East North Central	NA
Wyoming	1986	NA	852	174	West	Mountain	NA
Alabama	1987	NA	12581	314	South	East South Central	NA
Alaska	1987	NA	2118	328	West	Pacific	NA
Arizona	1987	NA	10948	307	West	Mountain	NA
Arkansas	1987	NA	5323	232	South	West South Central	NA
California	1987	NA	66975	233	West	Pacific	NA
Colorado	1987	NA	4802	147	West	Mountain	NA
Connecticut	1987	NA	6961	143	Northeast	New England	NA
Delaware	1987	NA	2741	339	South	South Atlantic	NA
Florida	1987	NA	31924	270	South	South Atlantic	NA
Georgia	1987	NA	18575	285	South	South Atlantic	NA
Hawaii	1987	NA	2099	143	West	Pacific	NA
Idaho	1987	NA	1341	146	West	Mountain	NA
Illinois	1987	NA	19850	174	Midwest	East North Central	NA
